BusinessPartner,AddressID,Person,OrdinalNumber,IsDefaultURLAddress,URLFieldLength,WebsiteURL
te-4042403,te-4042403,te-4042403,403,false,10,WebsiteURL-4042403
te-4042404,te-4042404,te-4042404,404,true,99,WebsiteURL-4042404
te-4042405,te-4042405,te-4042405,405,false,70,WebsiteURL-4042405
te-4042406,te-4042406,te-4042406,406,true,10,WebsiteURL-4042406
te-4042407,te-4042407,te-4042407,407,false,43,WebsiteURL-4042407
te-4042408,te-4042408,te-4042408,408,true,91,WebsiteURL-4042408
te-4042409,te-4042409,te-4042409,409,false,52,WebsiteURL-4042409
te-4042410,te-4042410,te-4042410,410,true,81,WebsiteURL-4042410
te-4042411,te-4042411,te-4042411,411,false,0,WebsiteURL-4042411
te-4042412,te-4042412,te-4042412,412,true,79,WebsiteURL-4042412
