BusinessPartner,BPEmploymentStartDate,BPEmploymentEndDate,BPEmploymentStatus,BusPartEmplrIndstryCode,BusinessPartnerEmployerName,BusinessPartnerOccupationGroup
t-22009769,2008-05-11,2015-05-31,69,e-22009769,usinessPartnerEmployerName-22009769,9769
t-22009770,2011-08-27,2020-08-15,70,e-22009770,usinessPartnerEmployerName-22009770,9770
t-22009771,2003-02-23,2007-07-04,71,e-22009771,usinessPartnerEmployerName-22009771,9771
t-22009772,2009-06-27,2010-06-17,72,e-22009772,usinessPartnerEmployerName-22009772,9772
t-22009773,2017-04-12,2009-04-22,73,e-22009773,usinessPartnerEmployerName-22009773,9773
t-22009774,2012-11-03,2021-10-31,74,e-22009774,usinessPartnerEmployerName-22009774,9774
t-22009775,2022-05-18,2010-11-18,75,e-22009775,usinessPartnerEmployerName-22009775,9775
t-22009776,2000-06-30,2015-08-24,76,e-22009776,usinessPartnerEmployerName-22009776,9776
t-22009777,2008-09-15,2007-08-03,77,e-22009777,usinessPartnerEmployerName-22009777,9777
t-22009778,2008-05-13,2023-10-01,78,e-22009778,usinessPartnerEmployerName-22009778,9778
