RelationshipNumber,BusinessPartner1,BusinessPartner2,ValidityEndDate,ValidityStartDate,IsStandardRelationship,RelationshipCategory,BPRelationshipType,CreatedByUser,CreationDate,CreationTime,LastChangedByUser,LastChangeDate,LastChangeTime
hip-15240435,p-15240435,p-15240435,2022-06-20,2019-03-24,false,240435,0435,ser-15240435,2000-07-27,22:59:53,ser-15240435,2001-03-08,22:59:53
hip-15240436,p-15240436,p-15240436,2020-08-24,2020-06-18,true,240436,0436,ser-15240436,2014-09-24,22:59:53,ser-15240436,2003-12-29,22:59:53
hip-15240437,p-15240437,p-15240437,2018-04-28,2018-10-20,false,240437,0437,ser-15240437,2001-03-13,22:59:53,ser-15240437,2008-09-16,22:59:53
hip-15240438,p-15240438,p-15240438,2008-01-30,2019-08-31,true,240438,0438,ser-15240438,2002-02-03,22:59:53,ser-15240438,2013-08-10,22:59:53
hip-15240439,p-15240439,p-15240439,2008-01-04,2013-12-23,false,240439,0439,ser-15240439,2006-12-18,22:59:53,ser-15240439,2019-06-04,22:59:53
hip-15240440,p-15240440,p-15240440,2012-03-12,2017-08-29,true,240440,0440,ser-15240440,2008-06-18,22:59:53,ser-15240440,2017-09-16,22:59:53
hip-15240441,p-15240441,p-15240441,2023-02-11,2021-07-02,false,240441,0441,ser-15240441,2006-02-09,22:59:53,ser-15240441,2006-07-28,22:59:53
hip-15240442,p-15240442,p-15240442,2011-07-27,2000-09-17,true,240442,0442,ser-15240442,2012-07-09,22:59:53,ser-15240442,2021-09-02,22:59:53
hip-15240443,p-15240443,p-15240443,2004-04-02,2016-04-20,false,240443,0443,ser-15240443,2021-06-22,22:59:53,ser-15240443,2013-10-23,22:59:53
hip-15240444,p-15240444,p-15240444,2016-10-20,2017-08-09,true,240444,0444,ser-15240444,2001-12-26,22:59:53,ser-15240444,2018-12-23,22:59:53
