BusinessPartner,ValidityEndDate,AddressUsage,AddressID,ValidityStartDate,StandardUsage,AuthorizationGroup
e-13775373,2012-03-10T00:00:00.000Z,e-13775373,e-13775373,2003-07-23T00:00:00.000Z,false,5373
e-13775374,2014-03-27T00:00:00.000Z,e-13775374,e-13775374,2010-07-26T00:00:00.000Z,true,5374
e-13775375,2008-10-27T00:00:00.000Z,e-13775375,e-13775375,2004-10-11T00:00:00.000Z,false,5375
e-13775376,2006-08-03T00:00:00.000Z,e-13775376,e-13775376,2001-06-29T00:00:00.000Z,true,5376
e-13775377,2001-09-07T00:00:00.000Z,e-13775377,e-13775377,2000-01-15T00:00:00.000Z,false,5377
e-13775378,2009-06-29T00:00:00.000Z,e-13775378,e-13775378,2007-10-07T00:00:00.000Z,true,5378
e-13775379,2013-03-10T00:00:00.000Z,e-13775379,e-13775379,2017-02-13T00:00:00.000Z,false,5379
e-13775380,2002-05-25T00:00:00.000Z,e-13775380,e-13775380,2003-04-16T00:00:00.000Z,true,5380
e-13775381,2017-08-11T00:00:00.000Z,e-13775381,e-13775381,2018-11-05T00:00:00.000Z,false,5381
e-13775382,2014-04-25T00:00:00.000Z,e-13775382,e-13775382,2023-05-01T00:00:00.000Z,true,5382
