Customer,AddressID,ExpressTrainStationName,TrainStationName,CityCode,County
on-1255107,on-1255107,sTrainStationName-1255107,TrainStationName-1255107,5107,107
on-1255108,on-1255108,sTrainStationName-1255108,TrainStationName-1255108,5108,108
on-1255109,on-1255109,sTrainStationName-1255109,TrainStationName-1255109,5109,109
on-1255110,on-1255110,sTrainStationName-1255110,TrainStationName-1255110,5110,110
on-1255111,on-1255111,sTrainStationName-1255111,TrainStationName-1255111,5111,111
on-1255112,on-1255112,sTrainStationName-1255112,TrainStationName-1255112,5112,112
on-1255113,on-1255113,sTrainStationName-1255113,TrainStationName-1255113,5113,113
on-1255114,on-1255114,sTrainStationName-1255114,TrainStationName-1255114,5114,114
on-1255115,on-1255115,sTrainStationName-1255115,TrainStationName-1255115,5115,115
on-1255116,on-1255116,sTrainStationName-1255116,TrainStationName-1255116,5116,116
