Customer,CompanyCode,APARToleranceGroup,AccountByCustomer,AccountingClerk,AccountingClerkFaxNumber,AccountingClerkInternetAddress,AccountingClerkPhoneNumber,AlternativePayerAccount,AuthorizationGroup,CollectiveInvoiceVariant,CustomerAccountNote,CustomerHeadOffice,CustomerSupplierClearingIsUsed,HouseBank,InterestCalculationCode,InterestCalculationDate,IntrstCalcFrequencyInMonths,IsToBeLocallyProcessed,ItemIsToBePaidSeparately,LayoutSortingRule,PaymentBlockingReason,PaymentMethodsList,PaymentReason,PaymentTerms,PaytAdviceIsSentbyEDI,PhysicalInventoryBlockInd,ReconciliationAccount,RecordPaymentHistoryIndicator,UserAtCustomer,DeletionIndicator,CashPlanningGroup,KnownOrNegotiatedLeave,ValueAdjustmentKey,CustomerAccountGroup
ny-6945362,5362,5362,omer-6945362,62,ccountingClerkFaxNumber-6945362,AccountingClerkInternetAddress-6945362,untingClerkPhoneNumber-6945362,nt-6945362,5362,2,CustomerAccountNote-6945362,ce-6945362,true,45362,62,2000-03-01,62,true,true,362,2,st-6945362,5362,5362,true,true,nt-6945362,true,ustomer-6945362,true,up-6945362,5362,62,5362
ny-6945363,5363,5363,omer-6945363,63,ccountingClerkFaxNumber-6945363,AccountingClerkInternetAddress-6945363,untingClerkPhoneNumber-6945363,nt-6945363,5363,3,CustomerAccountNote-6945363,ce-6945363,false,45363,63,2013-02-03,63,false,false,363,3,st-6945363,5363,5363,false,false,nt-6945363,false,ustomer-6945363,false,up-6945363,5363,63,5363
ny-6945364,5364,5364,omer-6945364,64,ccountingClerkFaxNumber-6945364,AccountingClerkInternetAddress-6945364,untingClerkPhoneNumber-6945364,nt-6945364,5364,4,CustomerAccountNote-6945364,ce-6945364,true,45364,64,2012-07-24,64,true,true,364,4,st-6945364,5364,5364,true,true,nt-6945364,true,ustomer-6945364,true,up-6945364,5364,64,5364
ny-6945365,5365,5365,omer-6945365,65,ccountingClerkFaxNumber-6945365,AccountingClerkInternetAddress-6945365,untingClerkPhoneNumber-6945365,nt-6945365,5365,5,CustomerAccountNote-6945365,ce-6945365,false,45365,65,2010-08-23,65,false,false,365,5,st-6945365,5365,5365,false,false,nt-6945365,false,ustomer-6945365,false,up-6945365,5365,65,5365
ny-6945366,5366,5366,omer-6945366,66,ccountingClerkFaxNumber-6945366,AccountingClerkInternetAddress-6945366,untingClerkPhoneNumber-6945366,nt-6945366,5366,6,CustomerAccountNote-6945366,ce-6945366,true,45366,66,2001-06-03,66,true,true,366,6,st-6945366,5366,5366,true,true,nt-6945366,true,ustomer-6945366,true,up-6945366,5366,66,5366
ny-6945367,5367,5367,omer-6945367,67,ccountingClerkFaxNumber-6945367,AccountingClerkInternetAddress-6945367,untingClerkPhoneNumber-6945367,nt-6945367,5367,7,CustomerAccountNote-6945367,ce-6945367,false,45367,67,2023-10-10,67,false,false,367,7,st-6945367,5367,5367,false,false,nt-6945367,false,ustomer-6945367,false,up-6945367,5367,67,5367
ny-6945368,5368,5368,omer-6945368,68,ccountingClerkFaxNumber-6945368,AccountingClerkInternetAddress-6945368,untingClerkPhoneNumber-6945368,nt-6945368,5368,8,CustomerAccountNote-6945368,ce-6945368,true,45368,68,2014-05-22,68,true,true,368,8,st-6945368,5368,5368,true,true,nt-6945368,true,ustomer-6945368,true,up-6945368,5368,68,5368
ny-6945369,5369,5369,omer-6945369,69,ccountingClerkFaxNumber-6945369,AccountingClerkInternetAddress-6945369,untingClerkPhoneNumber-6945369,nt-6945369,5369,9,CustomerAccountNote-6945369,ce-6945369,false,45369,69,2017-11-15,69,false,false,369,9,st-6945369,5369,5369,false,false,nt-6945369,false,ustomer-6945369,false,up-6945369,5369,69,5369
ny-6945370,5370,5370,omer-6945370,70,ccountingClerkFaxNumber-6945370,AccountingClerkInternetAddress-6945370,untingClerkPhoneNumber-6945370,nt-6945370,5370,0,CustomerAccountNote-6945370,ce-6945370,true,45370,70,2009-12-23,70,true,true,370,0,st-6945370,5370,5370,true,true,nt-6945370,true,ustomer-6945370,true,up-6945370,5370,70,5370
ny-6945371,5371,5371,omer-6945371,71,ccountingClerkFaxNumber-6945371,AccountingClerkInternetAddress-6945371,untingClerkPhoneNumber-6945371,nt-6945371,5371,1,CustomerAccountNote-6945371,ce-6945371,false,45371,71,2015-08-09,71,false,false,371,1,st-6945371,5371,5371,false,false,nt-6945371,false,ustomer-6945371,false,up-6945371,5371,71,5371
