Customer,CompanyCode,DunningArea,DunningBlock,DunningLevel,DunningProcedure,DunningRecipient,LastDunnedOn,LegDunningProcedureOn,DunningClerk,AuthorizationGroup,CustomerAccountGroup
ng-2369231,9231,31,1,1,9231,nt-2369231,2002-06-09,2005-04-03,31,9231,9231
ng-2369232,9232,32,2,2,9232,nt-2369232,2015-02-01,2013-12-12,32,9232,9232
ng-2369233,9233,33,3,3,9233,nt-2369233,2008-04-23,2020-09-15,33,9233,9233
ng-2369234,9234,34,4,4,9234,nt-2369234,2003-10-02,2003-12-06,34,9234,9234
ng-2369235,9235,35,5,5,9235,nt-2369235,2013-08-30,2003-09-28,35,9235,9235
ng-2369236,9236,36,6,6,9236,nt-2369236,2007-11-07,2023-07-14,36,9236,9236
ng-2369237,9237,37,7,7,9237,nt-2369237,2021-08-23,2021-11-20,37,9237,9237
ng-2369238,9238,38,8,8,9238,nt-2369238,2010-11-28,2015-12-08,38,9238,9238
ng-2369239,9239,39,9,9,9239,nt-2369239,2014-11-23,2012-06-27,39,9239,9239
ng-2369240,9240,40,0,0,9240,nt-2369240,2003-11-02,2022-09-30,40,9240,9240
