Customer,SalesOrganization,DistributionChannel,Division,AccountByCustomer,AuthorizationGroup,BillingIsBlockedForCustomer,CompleteDeliveryIsDefined,CreditControlArea,Currency,CustIsRlvtForSettlmtMgmt,CustomerABCClassification,CustomerAccountAssignmentGroup,CustomerGroup,CustomerIsRebateRelevant,CustomerPaymentTerms,CustomerPriceGroup,CustomerPricingProcedure,CustomerStatisticsGroup,CustProdProposalProcedure,DeliveryIsBlockedForCustomer,DeliveryPriority,IncotermsClassification,IncotermsLocation2,IncotermsVersion,IncotermsLocation1,IncotermsSupChnLoc1AddlUUID,IncotermsSupChnLoc2AddlUUID,IncotermsSupChnDvtgLocAddlUUID,DeletionIndicator,IncotermsTransferLocation,InspSbstHasNoTimeOrQuantity,InvoiceDate,ItemOrderProbabilityInPercent,ManualInvoiceMaintIsRelevant,MaxNmbrOfPartialDelivery,OrderCombinationIsAllowed,OrderIsBlockedForCustomer,OverdelivTolrtdLmtRatioInPct,PartialDeliveryIsAllowed,PriceListType,ProductUnitGroup,ProofOfDeliveryTimeValue,SalesGroup,SalesItemProposal,SalesOffice,ShippingCondition,SlsDocIsRlvtForProofOfDeliv,SlsUnlmtdOvrdelivIsAllwd,SupplyingPlant,SalesDistrict,UnderdelivTolrtdLmtRatioInPct,InvoiceListSchedule,ExchangeRateType,AdditionalCustomerGroup1,AdditionalCustomerGroup2,AdditionalCustomerGroup3,AdditionalCustomerGroup4,AdditionalCustomerGroup5,PaymentGuaranteeProcedure,CustomerAccountGroup
a-10636119,6119,19,19,mer-10636119,6119,19,false,6119,36119,false,19,19,19,false,6119,19,19,9,19,19,19,119,IncotermsLocation2-10636119,6119,IncotermsLocation1-10636119,10636119-0ece-4d98-a9a0-6eefa225b0f4,10636119-12ab-4f97-bee2-6ff21d670269,10636119-e3fa-40b2-8278-eff6ee8df183,false,rmsTransferLocation-10636119,false,19,119,false,7,false,19,579.1,9,19,6119,326813.24,119,l-10636119,6119,19,false,false,6119,636119,309.1,19,6119,119,119,119,119,119,6119,6119
a-10636120,6120,20,20,mer-10636120,6120,20,true,6120,36120,true,20,20,20,true,6120,20,20,0,20,20,20,120,IncotermsLocation2-10636120,6120,IncotermsLocation1-10636120,10636120-c461-4951-86b8-5acfc010a0e5,10636120-c65f-4068-bf97-38f83606cfb4,10636120-f17d-4111-b5c4-1e2d621c0ee8,true,rmsTransferLocation-10636120,true,20,120,true,6,true,20,560.3,0,20,6120,131524.28,120,l-10636120,6120,20,true,true,6120,636120,648.2,20,6120,120,120,120,120,120,6120,6120
a-10636121,6121,21,21,mer-10636121,6121,21,false,6121,36121,false,21,21,21,false,6121,21,21,1,21,21,21,121,IncotermsLocation2-10636121,6121,IncotermsLocation1-10636121,10636121-2732-4cb7-9b73-9bc73840c812,10636121-0582-4faf-983d-f0c9779562e0,10636121-b798-4e0e-8e60-4df066cdae14,false,rmsTransferLocation-10636121,false,21,121,false,3,false,21,214.2,1,21,6121,703120.25,121,l-10636121,6121,21,false,false,6121,636121,433.2,21,6121,121,121,121,121,121,6121,6121
a-10636122,6122,22,22,mer-10636122,6122,22,true,6122,36122,true,22,22,22,true,6122,22,22,2,22,22,22,122,IncotermsLocation2-10636122,6122,IncotermsLocation1-10636122,10636122-dc03-4523-aaa5-e0482b819c92,10636122-3a2e-4f62-a877-74a017ce3b38,10636122-bebe-42a7-b8bc-e0d3a650808a,true,rmsTransferLocation-10636122,true,22,122,true,7,true,22,407.1,2,22,6122,120322.24,122,l-10636122,6122,22,true,true,6122,636122,279.3,22,6122,122,122,122,122,122,6122,6122
a-10636123,6123,23,23,mer-10636123,6123,23,false,6123,36123,false,23,23,23,false,6123,23,23,3,23,23,23,123,IncotermsLocation2-10636123,6123,IncotermsLocation1-10636123,10636123-3a03-47f4-8698-d08fb5b0e08a,10636123-178a-4440-84fb-efe2586a4ec2,10636123-7737-41ea-890d-4cc7c8ed02eb,false,rmsTransferLocation-10636123,false,23,123,false,6,false,23,701.2,3,23,6123,879206.69,123,l-10636123,6123,23,false,false,6123,636123,491.1,23,6123,123,123,123,123,123,6123,6123
a-10636124,6124,24,24,mer-10636124,6124,24,true,6124,36124,true,24,24,24,true,6124,24,24,4,24,24,24,124,IncotermsLocation2-10636124,6124,IncotermsLocation1-10636124,10636124-bb13-4583-995f-614d0bb33e4f,10636124-8480-4142-b39d-f51a4d7728dd,10636124-8b8a-4e99-9459-d954da585143,true,rmsTransferLocation-10636124,true,24,124,true,3,true,24,598.1,4,24,6124,212328.25,124,l-10636124,6124,24,true,true,6124,636124,415.4,24,6124,124,124,124,124,124,6124,6124
a-10636125,6125,25,25,mer-10636125,6125,25,false,6125,36125,false,25,25,25,false,6125,25,25,5,25,25,25,125,IncotermsLocation2-10636125,6125,IncotermsLocation1-10636125,10636125-131b-4e9f-8b9d-8da4f0812e60,10636125-755b-4948-990b-5657437091fa,10636125-847c-4165-9cb6-ee3667adea10,false,rmsTransferLocation-10636125,false,25,125,false,9,false,25,931.3,5,25,6125,655599.1,125,l-10636125,6125,25,false,false,6125,636125,760.1,25,6125,125,125,125,125,125,6125,6125
a-10636126,6126,26,26,mer-10636126,6126,26,true,6126,36126,true,26,26,26,true,6126,26,26,6,26,26,26,126,IncotermsLocation2-10636126,6126,IncotermsLocation1-10636126,10636126-8168-4528-8d5d-c38c80334e2f,10636126-69f2-4624-8f58-427c1ce38ff9,10636126-d720-47d1-821f-aeed28dec5bd,true,rmsTransferLocation-10636126,true,26,126,true,4,true,26,617.8,6,26,6126,649147.58,126,l-10636126,6126,26,true,true,6126,636126,336.2,26,6126,126,126,126,126,126,6126,6126
a-10636127,6127,27,27,mer-10636127,6127,27,false,6127,36127,false,27,27,27,false,6127,27,27,7,27,27,27,127,IncotermsLocation2-10636127,6127,IncotermsLocation1-10636127,10636127-805c-4e5d-9f0c-d0e34ca31474,10636127-90f4-4ecf-8431-1e485182a7af,10636127-fc9c-464e-8dc5-ffe73cf61e5e,false,rmsTransferLocation-10636127,false,27,127,false,6,false,27,705.2,7,27,6127,394111.31,127,l-10636127,6127,27,false,false,6127,636127,706.3,27,6127,127,127,127,127,127,6127,6127
a-10636128,6128,28,28,mer-10636128,6128,28,true,6128,36128,true,28,28,28,true,6128,28,28,8,28,28,28,128,IncotermsLocation2-10636128,6128,IncotermsLocation1-10636128,10636128-3122-41f6-9256-8f6bd8952cca,10636128-3cf5-4821-9b29-3f487b82e9ce,10636128-e24e-44f8-99ce-91baeeb7cf17,true,rmsTransferLocation-10636128,true,28,128,true,1,true,28,960.3,8,28,6128,131527.13,128,l-10636128,6128,28,true,true,6128,636128,503.2,28,6128,128,128,128,128,128,6128,6128
