Customer,CustomerTaxGroupingCode,CustTaxGrpExemptionCertificate,CustTaxGroupExemptionRate,CustTaxGroupExemptionStartDate,CustTaxGroupExemptionEndDate,CustTaxGroupSubjectedStartDate,CustTaxGroupSubjectedEndDate
ng-1949976,976,ificate-1949976,33104.24,2022-06-21,2018-03-01,2019-04-28,2017-05-20
ng-1949977,977,ificate-1949977,84382.2,2007-10-21,2012-08-27,2018-02-03,2019-02-15
ng-1949978,978,ificate-1949978,15378.85,2002-06-26,2012-09-06,2001-01-06,2010-06-12
ng-1949979,979,ificate-1949979,29767.51,2006-05-21,2000-09-07,2002-09-09,2003-02-19
ng-1949980,980,ificate-1949980,12258.25,2021-05-26,2009-08-03,2018-09-24,2015-09-12
ng-1949981,981,ificate-1949981,6175.68,2018-05-20,2019-04-17,2004-03-21,2016-12-04
ng-1949982,982,ificate-1949982,44653.11,2005-05-31,2000-11-21,2017-01-03,2015-01-23
ng-1949983,983,ificate-1949983,19806.27,2001-08-10,2004-07-02,2003-06-23,2021-12-30
ng-1949984,984,ificate-1949984,96905.58,2012-11-27,2000-11-09,2022-05-01,2017-12-10
ng-1949985,985,ificate-1949985,79333.23,2002-08-26,2006-02-01,2015-10-22,2003-07-18
