Supplier,CompanyCode,AuthorizationGroup,CompanyCodeName,PaymentBlockingReason,SupplierIsBlockedForPosting,AccountingClerk,AccountingClerkFaxNumber,AccountingClerkPhoneNumber,SupplierClerk,SupplierClerkURL,PaymentMethodsList,PaymentReason,PaymentTerms,ClearCustomerSupplier,IsToBeLocallyProcessed,ItemIsToBePaidSeparately,PaymentIsToBeSentByEDI,HouseBank,CheckPaidDurationInDays,Currency,BillOfExchLmtAmtInCoCodeCrcy,SupplierClerkIDBySupplier,ReconciliationAccount,InterestCalculationCode,InterestCalculationDate,IntrstCalcFrequencyInMonths,SupplierHeadOffice,AlternativePayee,LayoutSortingRule,APARToleranceGroup,SupplierCertificationDate,SupplierAccountNote,WithholdingTaxCountry,DeletionIndicator,CashPlanningGroup,IsToBeCheckedForDuplicates,MinorityGroup,SupplierAccountGroup,to_Supplier_Supplier
y-24702919,2919,2919,CompanyCodeName-24702919,9,false,19,countingClerkFaxNumber-24702919,ntingClerkPhoneNumber-24702919,rClerk-24702919,SupplierClerkURL-24702919,t-24702919,2919,2919,false,false,false,false,02919,623,02919,30467293.532,ier-24702919,t-24702919,19,2007-07-23,19,e-24702919,e-24702919,919,2919,2012-11-04,SupplierAccountNote-24702919,919,false,p-24702919,false,919,2919,r-12434412
y-24702920,2920,2920,CompanyCodeName-24702920,0,true,20,countingClerkFaxNumber-24702920,ntingClerkPhoneNumber-24702920,rClerk-24702920,SupplierClerkURL-24702920,t-24702920,2920,2920,true,true,true,true,02920,60,02920,15885936.273,ier-24702920,t-24702920,20,2013-07-29,20,e-24702920,e-24702920,920,2920,2002-10-21,SupplierAccountNote-24702920,920,true,p-24702920,true,920,2920,r-12434412
y-24702921,2921,2921,CompanyCodeName-24702921,1,false,21,countingClerkFaxNumber-24702921,ntingClerkPhoneNumber-24702921,rClerk-24702921,SupplierClerkURL-24702921,t-24702921,2921,2921,false,false,false,false,02921,108,02921,11565526.199,ier-24702921,t-24702921,21,2012-09-15,21,e-24702921,e-24702921,921,2921,2015-09-11,SupplierAccountNote-24702921,921,false,p-24702921,false,921,2921,r-12434412
y-24702922,2922,2922,CompanyCodeName-24702922,2,true,22,countingClerkFaxNumber-24702922,ntingClerkPhoneNumber-24702922,rClerk-24702922,SupplierClerkURL-24702922,t-24702922,2922,2922,true,true,true,true,02922,961,02922,15620730.684,ier-24702922,t-24702922,22,2011-07-03,22,e-24702922,e-24702922,922,2922,2013-09-24,SupplierAccountNote-24702922,922,true,p-24702922,true,922,2922,r-12434412
y-24702923,2923,2923,CompanyCodeName-24702923,3,false,23,countingClerkFaxNumber-24702923,ntingClerkPhoneNumber-24702923,rClerk-24702923,SupplierClerkURL-24702923,t-24702923,2923,2923,false,false,false,false,02923,686,02923,7281967.307,ier-24702923,t-24702923,23,2021-02-08,23,e-24702923,e-24702923,923,2923,2009-11-10,SupplierAccountNote-24702923,923,false,p-24702923,false,923,2923,r-12434412
y-24702924,2924,2924,CompanyCodeName-24702924,4,true,24,countingClerkFaxNumber-24702924,ntingClerkPhoneNumber-24702924,rClerk-24702924,SupplierClerkURL-24702924,t-24702924,2924,2924,true,true,true,true,02924,814,02924,11213220.109,ier-24702924,t-24702924,24,2006-10-11,24,e-24702924,e-24702924,924,2924,2017-01-31,SupplierAccountNote-24702924,924,true,p-24702924,true,924,2924,r-12434412
y-24702925,2925,2925,CompanyCodeName-24702925,5,false,25,countingClerkFaxNumber-24702925,ntingClerkPhoneNumber-24702925,rClerk-24702925,SupplierClerkURL-24702925,t-24702925,2925,2925,false,false,false,false,02925,701,02925,7981708.219,ier-24702925,t-24702925,25,2013-03-09,25,e-24702925,e-24702925,925,2925,2000-10-28,SupplierAccountNote-24702925,925,false,p-24702925,false,925,2925,r-12434412
y-24702926,2926,2926,CompanyCodeName-24702926,6,true,26,countingClerkFaxNumber-24702926,ntingClerkPhoneNumber-24702926,rClerk-24702926,SupplierClerkURL-24702926,t-24702926,2926,2926,true,true,true,true,02926,208,02926,2841399.107,ier-24702926,t-24702926,26,2022-06-05,26,e-24702926,e-24702926,926,2926,2008-11-04,SupplierAccountNote-24702926,926,true,p-24702926,true,926,2926,r-12434412
y-24702927,2927,2927,CompanyCodeName-24702927,7,false,27,countingClerkFaxNumber-24702927,ntingClerkPhoneNumber-24702927,rClerk-24702927,SupplierClerkURL-24702927,t-24702927,2927,2927,false,false,false,false,02927,406,02927,26427834.107,ier-24702927,t-24702927,27,2006-01-14,27,e-24702927,e-24702927,927,2927,2010-05-01,SupplierAccountNote-24702927,927,false,p-24702927,false,927,2927,r-12434412
y-24702928,2928,2928,CompanyCodeName-24702928,8,true,28,countingClerkFaxNumber-24702928,ntingClerkPhoneNumber-24702928,rClerk-24702928,SupplierClerkURL-24702928,t-24702928,2928,2928,true,true,true,true,02928,452,02928,25080645.961,ier-24702928,t-24702928,28,2019-11-02,28,e-24702928,e-24702928,928,2928,2002-03-09,SupplierAccountNote-24702928,928,true,p-24702928,true,928,2928,r-12434412
