Supplier,PurchasingOrganization,SupplierSubrange,Plant,PartnerFunction,PartnerCounter,DefaultPartner,CreationDate,CreatedByUser,ReferenceSupplier,AuthorizationGroup
nc-6052350,2350,052350,2350,50,350,true,2002-12-07,User-6052350,er-6052350,2350
nc-6052351,2351,052351,2351,51,351,false,2016-09-12,User-6052351,er-6052351,2351
nc-6052352,2352,052352,2352,52,352,true,2021-05-23,User-6052352,er-6052352,2352
nc-6052353,2353,052353,2353,53,353,false,2011-02-22,User-6052353,er-6052353,2353
nc-6052354,2354,052354,2354,54,354,true,2009-04-17,User-6052354,er-6052354,2354
nc-6052355,2355,052355,2355,55,355,false,2003-10-27,User-6052355,er-6052355,2355
nc-6052356,2356,052356,2356,56,356,true,2014-06-15,User-6052356,er-6052356,2356
nc-6052357,2357,052357,2357,57,357,false,2004-08-06,User-6052357,er-6052357,2357
nc-6052358,2358,052358,2358,58,358,true,2012-01-07,User-6052358,er-6052358,2358
nc-6052359,2359,052359,2359,59,359,false,2005-06-03,User-6052359,er-6052359,2359
