SalesOrder,SalesOrderType,SalesOrderTypeInternalCode,SalesOrganization,DistributionChannel,OrganizationDivision,SalesGroup,SalesOffice,SalesDistrict,SoldToParty,CreationDate,CreatedByUser,LastChangeDate,SenderBusinessSystemName,ExternalDocumentID,LastChangeDateTime,ExternalDocLastChangeDateTime,PurchaseOrderByCustomer,PurchaseOrderByShipToParty,CustomerPurchaseOrderType,CustomerPurchaseOrderDate,SalesOrderDate,TotalNetAmount,OverallDeliveryStatus,TotalBlockStatus,OverallOrdReltdBillgStatus,OverallSDDocReferenceStatus,TransactionCurrency,SDDocumentReason,PricingDate,PriceDetnExchangeRate,BillingPlan,RequestedDeliveryDate,ShippingCondition,CompleteDeliveryIsDefined,ShippingType,HeaderBillingBlockReason,DeliveryBlockReason,DeliveryDateTypeRule,IncotermsClassification,IncotermsTransferLocation,IncotermsLocation1,IncotermsLocation2,IncotermsVersion,CustomerPriceGroup,PriceListType,CustomerPaymentTerms,PaymentMethod,FixedValueDate,AssignmentReference,ReferenceSDDocument,ReferenceSDDocumentCategory,AccountingDocExternalReference,CustomerAccountAssignmentGroup,AccountingExchangeRate,CustomerGroup,AdditionalCustomerGroup1,AdditionalCustomerGroup2,AdditionalCustomerGroup3,AdditionalCustomerGroup4,AdditionalCustomerGroup5,SlsDocIsRlvtForProofOfDeliv,CustomerTaxClassification1,CustomerTaxClassification2,CustomerTaxClassification3,CustomerTaxClassification4,CustomerTaxClassification5,CustomerTaxClassification6,CustomerTaxClassification7,CustomerTaxClassification8,CustomerTaxClassification9,TaxDepartureCountry,VATRegistrationCountry,SalesOrderApprovalReason,SalesDocApprovalStatus,OverallSDProcessStatus,TotalCreditCheckStatus,OverallTotalDeliveryStatus,OverallSDDocumentRejectionSts,BillingDocumentDate,ContractAccount,AdditionalValueDays,CustomerPurchaseOrderSuplmnt,ServicesRenderedDate,to_BillingPlan_SalesOrder,to_BillingPlan_BillingPlan
r-16838397,8397,8397,8397,97,97,397,8397,838397,y-16838397,2016-09-06,ser-16838397,2007-09-28,SenderBusinessSystemName-16838397,ExternalDocumentID-16838397,2015-01-06T00:00:00.000Z,2015-04-24T00:00:00.000Z,PurchaseOrderByCustomer-16838397,PurchaseOrderByShipToParty-16838397,8397,2005-05-23,2005-03-10,4988779.161,7,7,7,7,38397,397,2005-02-22,7176730.14135,n-16838397,2009-09-26,97,false,97,97,97,7,397,rmsTransferLocation-16838397,IncotermsLocation1-16838397,IncotermsLocation2-16838397,8397,97,97,8397,7,2020-02-19,Reference-16838397,t-16838397,8397,ference-16838397,97,22039615.24302,97,397,397,397,397,397,false,7,7,7,7,7,7,7,7,7,397,397,8397,7,7,7,7,7,2002-01-09,unt-16838397,97,8397,2013-04-12,n-30359534,n-30359534
r-16838398,8398,8398,8398,98,98,398,8398,838398,y-16838398,2000-08-27,ser-16838398,2016-11-18,SenderBusinessSystemName-16838398,ExternalDocumentID-16838398,2007-07-11T00:00:00.000Z,2021-10-02T00:00:00.000Z,PurchaseOrderByCustomer-16838398,PurchaseOrderByShipToParty-16838398,8398,2014-09-18,2012-12-19,22521743.116,8,8,8,8,38398,398,2014-11-18,13907627.1332,n-16838398,2004-12-10,98,true,98,98,98,8,398,rmsTransferLocation-16838398,IncotermsLocation1-16838398,IncotermsLocation2-16838398,8398,98,98,8398,8,2016-02-04,Reference-16838398,t-16838398,8398,ference-16838398,98,2167174.22803,98,398,398,398,398,398,true,8,8,8,8,8,8,8,8,8,398,398,8398,8,8,8,8,8,2014-08-09,unt-16838398,98,8398,2022-09-20,n-30359534,n-30359534
r-16838399,8399,8399,8399,99,99,399,8399,838399,y-16838399,2012-01-07,ser-16838399,2009-10-01,SenderBusinessSystemName-16838399,ExternalDocumentID-16838399,2020-12-22T00:00:00.000Z,2020-10-30T00:00:00.000Z,PurchaseOrderByCustomer-16838399,PurchaseOrderByShipToParty-16838399,8399,2018-06-24,2000-08-15,22560439.102,9,9,9,9,38399,399,2002-10-25,23311652.24692,n-16838399,2023-10-29,99,false,99,99,99,9,399,rmsTransferLocation-16838399,IncotermsLocation1-16838399,IncotermsLocation2-16838399,8399,99,99,8399,9,2007-04-30,Reference-16838399,t-16838399,8399,ference-16838399,99,12845958.15353,99,399,399,399,399,399,false,9,9,9,9,9,9,9,9,9,399,399,8399,9,9,9,9,9,2002-06-28,unt-16838399,99,8399,2003-03-25,n-30359534,n-30359534
r-16838400,8400,8400,8400,00,00,400,8400,838400,y-16838400,2011-02-14,ser-16838400,2012-05-14,SenderBusinessSystemName-16838400,ExternalDocumentID-16838400,2015-01-26T00:00:00.000Z,2011-05-14T00:00:00.000Z,PurchaseOrderByCustomer-16838400,PurchaseOrderByShipToParty-16838400,8400,2016-07-18,2011-03-19,24761806.19,0,0,0,0,38400,400,2016-08-18,10728715.2824,n-16838400,2004-08-09,00,true,00,00,00,0,400,rmsTransferLocation-16838400,IncotermsLocation1-16838400,IncotermsLocation2-16838400,8400,00,00,8400,0,2011-06-28,Reference-16838400,t-16838400,8400,ference-16838400,00,7198037.12547,00,400,400,400,400,400,true,0,0,0,0,0,0,0,0,0,400,400,8400,0,0,0,0,0,2001-02-07,unt-16838400,00,8400,2008-04-17,n-30359534,n-30359534
r-16838401,8401,8401,8401,01,01,401,8401,838401,y-16838401,2017-05-28,ser-16838401,2011-01-07,SenderBusinessSystemName-16838401,ExternalDocumentID-16838401,2011-08-20T00:00:00.000Z,2021-11-02T00:00:00.000Z,PurchaseOrderByCustomer-16838401,PurchaseOrderByShipToParty-16838401,8401,2002-03-01,2002-10-09,10848063.176,1,1,1,1,38401,401,2018-02-08,27511007.28166,n-16838401,2013-06-29,01,false,01,01,01,1,401,rmsTransferLocation-16838401,IncotermsLocation1-16838401,IncotermsLocation2-16838401,8401,01,01,8401,1,2012-06-25,Reference-16838401,t-16838401,8401,ference-16838401,01,16329447.17586,01,401,401,401,401,401,false,1,1,1,1,1,1,1,1,1,401,401,8401,1,1,1,1,1,2022-04-08,unt-16838401,01,8401,2007-12-06,n-30359534,n-30359534
r-16838402,8402,8402,8402,02,02,402,8402,838402,y-16838402,2014-07-09,ser-16838402,2017-09-14,SenderBusinessSystemName-16838402,ExternalDocumentID-16838402,2021-06-21T00:00:00.000Z,2015-03-12T00:00:00.000Z,PurchaseOrderByCustomer-16838402,PurchaseOrderByShipToParty-16838402,8402,2009-02-02,2015-09-07,12615060.113,2,2,2,2,38402,402,2002-06-12,7096889.25046,n-16838402,2002-01-22,02,true,02,02,02,2,402,rmsTransferLocation-16838402,IncotermsLocation1-16838402,IncotermsLocation2-16838402,8402,02,02,8402,2,2014-06-20,Reference-16838402,t-16838402,8402,ference-16838402,02,4065467.21183,02,402,402,402,402,402,true,2,2,2,2,2,2,2,2,2,402,402,8402,2,2,2,2,2,2021-04-28,unt-16838402,02,8402,2020-04-17,n-30359534,n-30359534
r-16838403,8403,8403,8403,03,03,403,8403,838403,y-16838403,2015-04-25,ser-16838403,2002-05-14,SenderBusinessSystemName-16838403,ExternalDocumentID-16838403,2023-03-25T00:00:00.000Z,2010-07-30T00:00:00.000Z,PurchaseOrderByCustomer-16838403,PurchaseOrderByShipToParty-16838403,8403,2008-10-13,2000-11-21,18101410.994,3,3,3,3,38403,403,2022-07-27,4239608.10044,n-16838403,2009-01-26,03,false,03,03,03,3,403,rmsTransferLocation-16838403,IncotermsLocation1-16838403,IncotermsLocation2-16838403,8403,03,03,8403,3,2004-10-26,Reference-16838403,t-16838403,8403,ference-16838403,03,8910600.24184,03,403,403,403,403,403,false,3,3,3,3,3,3,3,3,3,403,403,8403,3,3,3,3,3,2016-11-02,unt-16838403,03,8403,2013-03-31,n-30359534,n-30359534
r-16838404,8404,8404,8404,04,04,404,8404,838404,y-16838404,2020-09-01,ser-16838404,2015-11-05,SenderBusinessSystemName-16838404,ExternalDocumentID-16838404,2015-09-18T00:00:00.000Z,2008-03-29T00:00:00.000Z,PurchaseOrderByCustomer-16838404,PurchaseOrderByShipToParty-16838404,8404,2003-12-10,2022-11-11,13130752.582,4,4,4,4,38404,404,2013-12-03,31639418.13025,n-16838404,2010-07-17,04,true,04,04,04,4,404,rmsTransferLocation-16838404,IncotermsLocation1-16838404,IncotermsLocation2-16838404,8404,04,04,8404,4,2003-04-07,Reference-16838404,t-16838404,8404,ference-16838404,04,22438043.26888,04,404,404,404,404,404,true,4,4,4,4,4,4,4,4,4,404,404,8404,4,4,4,4,4,2004-10-14,unt-16838404,04,8404,2007-02-01,n-30359534,n-30359534
r-16838405,8405,8405,8405,05,05,405,8405,838405,y-16838405,2002-07-03,ser-16838405,2009-05-21,SenderBusinessSystemName-16838405,ExternalDocumentID-16838405,2023-08-28T00:00:00.000Z,2008-12-17T00:00:00.000Z,PurchaseOrderByCustomer-16838405,PurchaseOrderByShipToParty-16838405,8405,2017-01-21,2006-08-21,4388989.141,5,5,5,5,38405,405,2011-12-10,1138801.11257,n-16838405,2015-07-11,05,false,05,05,05,5,405,rmsTransferLocation-16838405,IncotermsLocation1-16838405,IncotermsLocation2-16838405,8405,05,05,8405,5,2011-07-03,Reference-16838405,t-16838405,8405,ference-16838405,05,1761219.24481,05,405,405,405,405,405,false,5,5,5,5,5,5,5,5,5,405,405,8405,5,5,5,5,5,2013-01-06,unt-16838405,05,8405,2023-04-07,n-30359534,n-30359534
r-16838406,8406,8406,8406,06,06,406,8406,838406,y-16838406,2022-12-28,ser-16838406,2006-11-13,SenderBusinessSystemName-16838406,ExternalDocumentID-16838406,2012-05-20T00:00:00.000Z,2000-09-27T00:00:00.000Z,PurchaseOrderByCustomer-16838406,PurchaseOrderByShipToParty-16838406,8406,2012-09-18,2015-10-30,12395428.147,6,6,6,6,38406,406,2018-08-12,351918.16871,n-16838406,2001-04-28,06,true,06,06,06,6,406,rmsTransferLocation-16838406,IncotermsLocation1-16838406,IncotermsLocation2-16838406,8406,06,06,8406,6,2007-07-18,Reference-16838406,t-16838406,8406,ference-16838406,06,31250546.25495,06,406,406,406,406,406,true,6,6,6,6,6,6,6,6,6,406,406,8406,6,6,6,6,6,2001-02-27,unt-16838406,06,8406,2006-06-03,n-30359534,n-30359534
