SalesOrder,BillingPlan,BillingPlanStartDate,BillingPlanStartDateRule,ReferenceBillingPlan,BillingPlanCategory,BillingPlanType,BillingPlanEndDate,BillingPlanEndDateRule,BillingPlanSearchTerm,to_SalesOrder_SalesOrder
n-30359534,n-30359534,2019-08-30,34,n-30359534,4,34,2016-12-20,34,m-30359534,r-16838397
n-25697938,n-25697938,2017-02-09,38,n-25697938,8,38,2008-12-16,38,m-25697938,r-16838406
n-25697939,n-25697939,2009-09-20,39,n-25697939,9,39,2010-06-08,39,m-25697939,r-16838406
n-25697940,n-25697940,2021-09-11,40,n-25697940,0,40,2021-09-26,40,m-25697940,r-16838406
n-25697941,n-25697941,2016-06-15,41,n-25697941,1,41,2013-09-20,41,m-25697941,r-16838406
n-25697942,n-25697942,2001-01-16,42,n-25697942,2,42,2019-10-24,42,m-25697942,r-16838406
n-25697943,n-25697943,2015-06-28,43,n-25697943,3,43,2008-07-07,43,m-25697943,r-16838406
n-25697944,n-25697944,2018-06-26,44,n-25697944,4,44,2001-09-22,44,m-25697944,r-16838406
n-25697945,n-25697945,2009-02-22,45,n-25697945,5,45,2009-03-16,45,m-25697945,r-16838406
n-25697946,n-25697946,2004-11-10,46,n-25697946,6,46,2011-08-05,46,m-25697946,r-16838406
