SalesOrder,BillingPlan,BillingPlanItem,BillingPlanDateCategory,BillingPlanBillingDate,BillingPlanAmount,TransactionCurrency,BillingPlanAmountPercent,CustomerPaymentTerms,ProposedBillingDocumentType,BillingPlanDateDescriptionCode,BillingBlockReason,BillingPlanServiceStartDate,BillingPlanServiceEndDate,BillingPlanRelatedBillgStatus,BillingPlanType,AdoptingBillingDateID,BillingPlanBillingRule,BillingPlanMilestoneUsage,BillgPlnDteCorrectionRfndType,AccountingExchangeRate,PostponementReason,to_BillingPlan_SalesOrder,to_BillingPlan_BillingPlan,to_SalesOrder_SalesOrder
em-9745497,em-9745497,745497,97,2017-02-25,11947803.143,45497,64629.29,5497,5497,5497,97,2021-09-18,2011-08-17,7,97,7,7,45497,7,4621642.283,PostponementReason-9745497,n-25697946,n-25697946,r-16838406
em-9745498,em-9745498,745498,98,2022-06-13,9852810.258,45498,18295.29,5498,5498,5498,98,2004-12-13,2015-06-15,8,98,8,8,45498,8,653317.13606,PostponementReason-9745498,n-25697946,n-25697946,r-16838406
em-9745499,em-9745499,745499,99,2010-08-05,27974983.792,45499,54493.11,5499,5499,5499,99,2011-03-26,2017-01-22,9,99,9,9,45499,9,21735085.25725,PostponementReason-9745499,n-25697946,n-25697946,r-16838406
em-9745500,em-9745500,745500,00,2004-10-25,31653057.121,45500,31825.19,5500,5500,5500,00,2022-05-19,2020-12-27,0,00,0,0,45500,0,12795388.30069,PostponementReason-9745500,n-25697946,n-25697946,r-16838406
em-9745501,em-9745501,745501,01,2001-10-23,7854656.946,45501,17091.32,5501,5501,5501,01,2006-02-09,2019-09-07,1,01,1,1,45501,1,13966976.11476,PostponementReason-9745501,n-25697946,n-25697946,r-16838406
em-9745502,em-9745502,745502,02,2009-09-05,13260411.972,45502,90427.25,5502,5502,5502,02,2002-01-27,2013-02-11,2,02,2,2,45502,2,19988751.12589,PostponementReason-9745502,n-25697946,n-25697946,r-16838406
em-9745503,em-9745503,745503,03,2021-11-21,364824.205,45503,90765.27,5503,5503,5503,03,2021-04-10,2004-02-22,3,03,3,3,45503,3,4872520.14028,PostponementReason-9745503,n-25697946,n-25697946,r-16838406
em-9745504,em-9745504,745504,04,2005-09-01,24203165.218,45504,34806.32,5504,5504,5504,04,2021-11-24,2001-04-12,4,04,4,4,45504,4,2436707.20984,PostponementReason-9745504,n-25697946,n-25697946,r-16838406
em-9745505,em-9745505,745505,05,2001-09-01,3384691.223,45505,9584.67,5505,5505,5505,05,2012-05-01,2019-03-28,5,05,5,5,45505,5,4028574.27882,PostponementReason-9745505,n-25697946,n-25697946,r-16838406
em-9745506,em-9745506,745506,06,2017-08-02,13147799.425,45506,16608.14,5506,5506,5506,06,2002-05-21,2000-07-06,6,06,6,6,45506,6,14604798.13315,PostponementReason-9745506,n-25697946,n-25697946,r-16838406
