SalesOrder,PartnerFunction,PartnerFunctionInternalCode,Customer,Supplier,Personnel,ContactPerson,WorkAssignmentExternalID,ReferenceBusinessPartner,AddressID,VATRegistration,to_SalesOrder_SalesOrder
r-12049996,96,96,r-12049996,r-12049996,12049996,n-12049996,WorkAssignmentExternalID-12049996,r-12049996,D-12049996,egistration-12049996,r-16838406
r-12049997,97,97,r-12049997,r-12049997,12049997,n-12049997,WorkAssignmentExternalID-12049997,r-12049997,D-12049997,egistration-12049997,r-16838406
r-12049998,98,98,r-12049998,r-12049998,12049998,n-12049998,WorkAssignmentExternalID-12049998,r-12049998,D-12049998,egistration-12049998,r-16838406
r-12049999,99,99,r-12049999,r-12049999,12049999,n-12049999,WorkAssignmentExternalID-12049999,r-12049999,D-12049999,egistration-12049999,r-16838406
r-12050000,00,00,r-12050000,r-12050000,12050000,n-12050000,WorkAssignmentExternalID-12050000,r-12050000,D-12050000,egistration-12050000,r-16838406
r-12050001,01,01,r-12050001,r-12050001,12050001,n-12050001,WorkAssignmentExternalID-12050001,r-12050001,D-12050001,egistration-12050001,r-16838406
r-12050002,02,02,r-12050002,r-12050002,12050002,n-12050002,WorkAssignmentExternalID-12050002,r-12050002,D-12050002,egistration-12050002,r-16838406
r-12050003,03,03,r-12050003,r-12050003,12050003,n-12050003,WorkAssignmentExternalID-12050003,r-12050003,D-12050003,egistration-12050003,r-16838406
r-12050004,04,04,r-12050004,r-12050004,12050004,n-12050004,WorkAssignmentExternalID-12050004,r-12050004,D-12050004,egistration-12050004,r-16838406
r-12050005,05,05,r-12050005,r-12050005,12050005,n-12050005,WorkAssignmentExternalID-12050005,r-12050005,D-12050005,egistration-12050005,r-16838406
