SalesOrder,PricingProcedureStep,PricingProcedureCounter,ConditionType,PricingDateTime,PriceConditionDeterminationDte,ConditionCalculationType,ConditionBaseValue,ConditionRateValue,ConditionCurrency,ConditionQuantity,ConditionQuantityUnit,ConditionQuantitySAPUnit,ConditionQuantityISOUnit,ConditionCategory,ConditionIsForStatistics,PricingScaleType,ConditionOrigin,IsGroupCondition,ConditionRecord,ConditionSequentialNumber,TaxCode,WithholdingTaxCode,CndnRoundingOffDiffAmount,ConditionAmount,TransactionCurrency,ConditionControl,ConditionInactiveReason,ConditionClass,PrcgProcedureCounterForHeader,FactorForConditionBasisValue,StructureCondition,PeriodFactorForCndnBasisValue,PricingScaleBasis,ConditionScaleBasisValue,ConditionScaleBasisUnit,ConditionScaleBasisCurrency,CndnIsRelevantForIntcoBilling,ConditionIsManuallyChanged,ConditionIsForConfiguration,VariantCondition,to_SalesOrder_SalesOrder
t-14381037,037,037,1037,eTime-14381037,2012-10-10,037,6864911.15210161,11344507.226,81037,54189,037,037,037,7,false,7,7,7,d-14381037,037,37,37,298745.247,2494726.305,81037,7,7,7,037,17.23363596,7,99.1629118,037,27438189.13090941,037,81037,false,false,false,VariantCondition-14381037,r-16838406
t-14381038,038,038,1038,eTime-14381038,2019-09-11,038,22917858.14090253,19599224.1770144,81038,83929,038,038,038,8,true,8,8,8,d-14381038,038,38,38,164849.237,16319242.46,81038,8,8,8,038,38.16220023,8,10.21305729,038,9305451.26760112,038,81038,true,true,true,VariantCondition-14381038,r-16838406
t-14381039,039,039,1039,eTime-14381039,2003-02-04,039,10567654.27979643,6130028.22611298,81039,67144,039,039,039,9,false,9,9,9,d-14381039,039,39,39,193638.185,17788220.279,81039,9,9,9,039,33.13861358,9,56.12983845,039,12524205.11572172,039,81039,false,false,false,VariantCondition-14381039,r-16838406
t-14381040,040,040,1040,eTime-14381040,2004-12-20,040,268907.21546074,74434.11470654,81040,91765,040,040,040,0,true,0,0,0,d-14381040,040,40,40,970597.189,14480198.269,81040,0,0,0,040,95.18893146,0,70.16369292,040,5022029.26353146,040,81040,true,true,true,VariantCondition-14381040,r-16838406
t-14381041,041,041,1041,eTime-14381041,2016-11-13,041,14300437.26430222,23193736.28422673,81041,62757,041,041,041,1,false,1,1,1,d-14381041,041,41,41,414486.809,2278362.122,81041,1,1,1,041,6.8759431,1,32.2855279,041,22954377.14031658,041,81041,false,false,false,VariantCondition-14381041,r-16838406
t-14381042,042,042,1042,eTime-14381042,2001-09-26,042,12492607.11276117,1297718.3018967,81042,46886,042,042,042,2,true,2,2,2,d-14381042,042,42,42,752178.296,18137224.189,81042,2,2,2,042,52.2195925,2,83.12384093,042,3080959.23212964,042,81042,true,true,true,VariantCondition-14381042,r-16838406
t-14381043,043,043,1043,eTime-14381043,2009-08-14,043,8377942.22790766,23904705.1623658,81043,68305,043,043,043,3,false,3,3,3,d-14381043,043,43,43,841338.263,22449352.119,81043,3,3,3,043,85.28303851,3,81.12518427,043,21203918.19779626,043,81043,false,false,false,VariantCondition-14381043,r-16838406
t-14381044,044,044,1044,eTime-14381044,2009-04-28,044,16778528.8193692,14035836.16238802,81044,40826,044,044,044,4,true,4,4,4,d-14381044,044,44,44,794014.153,2437791.302,81044,4,4,4,044,65.21220225,4,71.11629328,044,14238937.1047945,044,81044,true,true,true,VariantCondition-14381044,r-16838406
t-14381045,045,045,1045,eTime-14381045,2007-03-19,045,15439469.137688,19743836.16397364,81045,77630,045,045,045,5,false,5,5,5,d-14381045,045,45,45,460908.14,6844961.274,81045,5,5,5,045,87.22729037,5,35.1431778,045,17717393.22487691,045,81045,false,false,false,VariantCondition-14381045,r-16838406
t-14381046,046,046,1046,eTime-14381046,2016-11-11,046,25050230.29918978,26161704.3438593,81046,77338,046,046,046,6,true,6,6,6,d-14381046,046,46,46,399850.188,7132063.172,81046,6,6,6,046,63.31572796,6,67.8779693,046,12983188.15666225,046,81046,true,true,true,VariantCondition-14381046,r-16838406
