SalesOrder,SalesOrderItem,PartnerFunction,PartnerFunctionInternalCode,Customer,Supplier,Personnel,ContactPerson,WorkAssignmentExternalID,ReferenceBusinessPartner,AddressID,VATRegistration,to_SalesOrder_SalesOrder,to_SalesOrderItem_SalesOrder,to_SalesOrderItem_SalesOrderItem
er-7164441,164441,41,41,er-7164441,er-7164441,-7164441,on-7164441,WorkAssignmentExternalID-7164441,er-7164441,ID-7164441,Registration-7164441,r-16838406,m-20069686,069686
er-7164442,164442,42,42,er-7164442,er-7164442,-7164442,on-7164442,WorkAssignmentExternalID-7164442,er-7164442,ID-7164442,Registration-7164442,r-16838406,m-20069686,069686
er-7164443,164443,43,43,er-7164443,er-7164443,-7164443,on-7164443,WorkAssignmentExternalID-7164443,er-7164443,ID-7164443,Registration-7164443,r-16838406,m-20069686,069686
er-7164444,164444,44,44,er-7164444,er-7164444,-7164444,on-7164444,WorkAssignmentExternalID-7164444,er-7164444,ID-7164444,Registration-7164444,r-16838406,m-20069686,069686
er-7164445,164445,45,45,er-7164445,er-7164445,-7164445,on-7164445,WorkAssignmentExternalID-7164445,er-7164445,ID-7164445,Registration-7164445,r-16838406,m-20069686,069686
er-7164446,164446,46,46,er-7164446,er-7164446,-7164446,on-7164446,WorkAssignmentExternalID-7164446,er-7164446,ID-7164446,Registration-7164446,r-16838406,m-20069686,069686
er-7164447,164447,47,47,er-7164447,er-7164447,-7164447,on-7164447,WorkAssignmentExternalID-7164447,er-7164447,ID-7164447,Registration-7164447,r-16838406,m-20069686,069686
er-7164448,164448,48,48,er-7164448,er-7164448,-7164448,on-7164448,WorkAssignmentExternalID-7164448,er-7164448,ID-7164448,Registration-7164448,r-16838406,m-20069686,069686
er-7164449,164449,49,49,er-7164449,er-7164449,-7164449,on-7164449,WorkAssignmentExternalID-7164449,er-7164449,ID-7164449,Registration-7164449,r-16838406,m-20069686,069686
er-7164450,164450,50,50,er-7164450,er-7164450,-7164450,on-7164450,WorkAssignmentExternalID-7164450,er-7164450,ID-7164450,Registration-7164450,r-16838406,m-20069686,069686
