SalesOrder,SalesOrderItem,PricingProcedureStep,PricingProcedureCounter,ConditionType,PricingDateTime,PriceConditionDeterminationDte,ConditionCalculationType,ConditionBaseValue,ConditionRateValue,ConditionCurrency,ConditionQuantity,ConditionQuantityUnit,ConditionQuantitySAPUnit,ConditionQuantityISOUnit,ConditionCategory,ConditionIsForStatistics,PricingScaleType,IsRelevantForAccrual,CndnIsRelevantForInvoiceList,ConditionOrigin,IsGroupCondition,ConditionRecord,ConditionSequentialNumber,TaxCode,WithholdingTaxCode,CndnRoundingOffDiffAmount,ConditionAmount,TransactionCurrency,ConditionControl,ConditionInactiveReason,ConditionClass,PrcgProcedureCounterForHeader,FactorForConditionBasisValue,StructureCondition,PeriodFactorForCndnBasisValue,PricingScaleBasis,ConditionScaleBasisValue,ConditionScaleBasisUnit,ConditionScaleBasisCurrency,CndnIsRelevantForIntcoBilling,ConditionIsManuallyChanged,ConditionIsForConfiguration,VariantCondition,to_SalesOrder_SalesOrder,to_SalesOrderItem_SalesOrder,to_SalesOrderItem_SalesOrderItem
t-12661141,661141,141,141,1141,eTime-12661141,2003-03-23,141,20384523.22898978,18650352.30177049,61141,208,141,141,141,1,false,1,false,1,1,1,d-12661141,141,41,41,105221.859,19147362.262,61141,1,1,1,141,10.25414757,1,64.1308954,141,21677956.29129413,141,61141,false,false,false,VariantCondition-12661141,r-16838406,m-20069686,069686
t-12661142,661142,142,142,1142,eTime-12661142,2013-07-02,142,18132476.217248,11717137.11116454,61142,81386,142,142,142,2,true,2,true,2,2,2,d-12661142,142,42,42,911151.158,14701571.133,61142,2,2,2,142,33.21837064,2,30.18991118,142,22463440.28088105,142,61142,true,true,true,VariantCondition-12661142,r-16838406,m-20069686,069686
t-12661143,661143,143,143,1143,eTime-12661143,2008-03-13,143,8709699.14429365,23797868.527173,61143,93662,143,143,143,3,false,3,false,3,3,3,d-12661143,143,43,43,71505.272,24974079.116,61143,3,3,3,143,88.17586413,3,90.24056823,143,29289792.29254381,143,61143,false,false,false,VariantCondition-12661143,r-16838406,m-20069686,069686
t-12661144,661144,144,144,1144,eTime-12661144,2007-02-09,144,2732274.31641602,26805669.30262564,61144,4015,144,144,144,4,true,4,true,4,4,4,d-12661144,144,44,44,760535.14,20729410.251,61144,4,4,4,144,66.15664701,4,72.30578838,144,17809542.20285962,144,61144,true,true,true,VariantCondition-12661144,r-16838406,m-20069686,069686
t-12661145,661145,145,145,1145,eTime-12661145,2015-10-17,145,17649308.1796473,29167984.24404516,61145,84864,145,145,145,5,false,5,false,5,5,5,d-12661145,145,45,45,403266.156,17618629.679,61145,5,5,5,145,80.3813265,5,30.9914971,145,17694901.15683861,145,61145,false,false,false,VariantCondition-12661145,r-16838406,m-20069686,069686
t-12661146,661146,146,146,1146,eTime-12661146,2019-08-12,146,2490754.24391569,14754.27027078,61146,59641,146,146,146,6,true,6,true,6,6,6,d-12661146,146,46,46,427188.737,27560422.274,61146,6,6,6,146,19.4200032,6,1.12535857,146,25674299.15795554,146,61146,true,true,true,VariantCondition-12661146,r-16838406,m-20069686,069686
t-12661147,661147,147,147,1147,eTime-12661147,2017-07-08,147,21771360.2463309,16465249.2131951,61147,28908,147,147,147,7,false,7,false,7,7,7,d-12661147,147,47,47,17627.291,522264.299,61147,7,7,7,147,6.31503181,7,9.22761461,147,7714200.1608049,147,61147,false,false,false,VariantCondition-12661147,r-16838406,m-20069686,069686
t-12661148,661148,148,148,1148,eTime-12661148,2019-01-21,148,3200864.5241814,21832912.31009789,61148,34941,148,148,148,8,true,8,true,8,8,8,d-12661148,148,48,48,699672.253,31205105.201,61148,8,8,8,148,33.23822385,8,65.15473796,148,14525008.2156611,148,61148,true,true,true,VariantCondition-12661148,r-16838406,m-20069686,069686
t-12661149,661149,149,149,1149,eTime-12661149,2006-09-08,149,24055280.20053391,25573676.21447007,61149,23927,149,149,149,9,false,9,false,9,9,9,d-12661149,149,49,49,401027.819,5560326.578,61149,9,9,9,149,47.23365884,9,94.27062108,149,2502804.13830207,149,61149,false,false,false,VariantCondition-12661149,r-16838406,m-20069686,069686
t-12661150,661150,150,150,1150,eTime-12661150,2023-05-16,150,17267378.3266998,19839169.11290268,61150,78776,150,150,150,0,true,0,true,0,0,0,d-12661150,150,50,50,291747.522,12445566.171,61150,0,0,0,150,85.5361745,0,8.6060822,150,15884921.267197,150,61150,true,true,true,VariantCondition-12661150,r-16838406,m-20069686,069686
