SalesOrder,SalesOrderItem,SDDocRelatedObjectSequenceNmbr,SDDocumentRelatedObjectType,SDDocRelatedObjectSystem,SDDocRelatedObjectReference1,SDDocRelatedObjectReference2,to_SalesOrder_SalesOrder,to_SalesOrderItem_SalesOrder,to_SalesOrderItem_SalesOrderItem
t-26299851,299851,9851,99851,SDDocRelatedObjectSystem-26299851,SDDocRelatedObjectReference1-26299851,SDDocRelatedObjectReference2-26299851,r-16838406,m-20069686,069686
t-26299852,299852,9852,99852,SDDocRelatedObjectSystem-26299852,SDDocRelatedObjectReference1-26299852,SDDocRelatedObjectReference2-26299852,r-16838406,m-20069686,069686
t-26299853,299853,9853,99853,SDDocRelatedObjectSystem-26299853,SDDocRelatedObjectReference1-26299853,SDDocRelatedObjectReference2-26299853,r-16838406,m-20069686,069686
t-26299854,299854,9854,99854,SDDocRelatedObjectSystem-26299854,SDDocRelatedObjectReference1-26299854,SDDocRelatedObjectReference2-26299854,r-16838406,m-20069686,069686
t-26299855,299855,9855,99855,SDDocRelatedObjectSystem-26299855,SDDocRelatedObjectReference1-26299855,SDDocRelatedObjectReference2-26299855,r-16838406,m-20069686,069686
t-26299856,299856,9856,99856,SDDocRelatedObjectSystem-26299856,SDDocRelatedObjectReference1-26299856,SDDocRelatedObjectReference2-26299856,r-16838406,m-20069686,069686
t-26299857,299857,9857,99857,SDDocRelatedObjectSystem-26299857,SDDocRelatedObjectReference1-26299857,SDDocRelatedObjectReference2-26299857,r-16838406,m-20069686,069686
t-26299858,299858,9858,99858,SDDocRelatedObjectSystem-26299858,SDDocRelatedObjectReference1-26299858,SDDocRelatedObjectReference2-26299858,r-16838406,m-20069686,069686
t-26299859,299859,9859,99859,SDDocRelatedObjectSystem-26299859,SDDocRelatedObjectReference1-26299859,SDDocRelatedObjectReference2-26299859,r-16838406,m-20069686,069686
t-26299860,299860,9860,99860,SDDocRelatedObjectSystem-26299860,SDDocRelatedObjectReference1-26299860,SDDocRelatedObjectReference2-26299860,r-16838406,m-20069686,069686
