SalesOrder,SalesOrderItem,Language,LongTextID,LongText,to_SalesOrder_SalesOrder,to_SalesOrderItem_SalesOrder,to_SalesOrderItem_SalesOrderItem
xt-5411765,411765,65,1765,LongText-5411765,r-16838406,m-20069686,069686
xt-5411766,411766,66,1766,LongText-5411766,r-16838406,m-20069686,069686
xt-5411767,411767,67,1767,LongText-5411767,r-16838406,m-20069686,069686
xt-5411768,411768,68,1768,LongText-5411768,r-16838406,m-20069686,069686
xt-5411769,411769,69,1769,LongText-5411769,r-16838406,m-20069686,069686
xt-5411770,411770,70,1770,LongText-5411770,r-16838406,m-20069686,069686
xt-5411771,411771,71,1771,LongText-5411771,r-16838406,m-20069686,069686
xt-5411772,411772,72,1772,LongText-5411772,r-16838406,m-20069686,069686
xt-5411773,411773,73,1773,LongText-5411773,r-16838406,m-20069686,069686
xt-5411774,411774,74,1774,LongText-5411774,r-16838406,m-20069686,069686
