SalesOrder,SalesOrderItem,DocRelationshipUUID,PrecedingDocument,PrecedingDocumentItem,PrecedingDocumentCategory,ProcessFlowLevel,RelatedProcFlowDocStsFieldName,SDProcessStatus,AccountingTransferStatus,PrelimBillingDocumentStatus,CreationDate,CreationTime,LastChangeDate,to_SalesOrder_SalesOrder,to_SalesOrderItem_SalesOrder,to_SalesOrderItem_SalesOrderItem
ow-4312428,312428,43124286-c828-4c70-b603-de6003429842,nt-4312428,312428,2428,28,rocFlowDocStsFieldName-4312428,8,8,8,2018-04-05,22:59:53,2011-08-04,r-16838406,m-20069686,069686
ow-4312429,312429,43124291-09d9-4008-a091-f4635e0aab2d,nt-4312429,312429,2429,29,rocFlowDocStsFieldName-4312429,9,9,9,2015-01-11,22:59:53,2016-10-30,r-16838406,m-20069686,069686
ow-4312430,312430,4312430a-1d0f-4529-ad73-1b8767b87225,nt-4312430,312430,2430,30,rocFlowDocStsFieldName-4312430,0,0,0,2021-01-02,22:59:53,2008-05-20,r-16838406,m-20069686,069686
ow-4312431,312431,4312431f-0377-4a64-b135-b23ba861b4e6,nt-4312431,312431,2431,31,rocFlowDocStsFieldName-4312431,1,1,1,2017-09-30,22:59:53,2001-01-04,r-16838406,m-20069686,069686
ow-4312432,312432,43124325-5d31-4628-92fa-46c6af1f49cb,nt-4312432,312432,2432,32,rocFlowDocStsFieldName-4312432,2,2,2,2000-02-16,22:59:53,2019-12-12,r-16838406,m-20069686,069686
ow-4312433,312433,4312433b-1b43-4874-8d25-b73249749ea5,nt-4312433,312433,2433,33,rocFlowDocStsFieldName-4312433,3,3,3,2018-03-01,22:59:53,2007-09-03,r-16838406,m-20069686,069686
ow-4312434,312434,43124340-5184-467e-ac42-00823df45a34,nt-4312434,312434,2434,34,rocFlowDocStsFieldName-4312434,4,4,4,2001-12-24,22:59:53,2000-06-13,r-16838406,m-20069686,069686
ow-4312435,312435,43124358-e173-4f45-bec3-2faa5610c31f,nt-4312435,312435,2435,35,rocFlowDocStsFieldName-4312435,5,5,5,2015-09-04,22:59:53,2007-08-14,r-16838406,m-20069686,069686
ow-4312436,312436,4312436a-5f17-4614-9362-1b0002d82873,nt-4312436,312436,2436,36,rocFlowDocStsFieldName-4312436,6,6,6,2012-04-18,22:59:53,2005-10-31,r-16838406,m-20069686,069686
ow-4312437,312437,43124379-ea5e-4fad-9500-7b7437d5e9ea,nt-4312437,312437,2437,37,rocFlowDocStsFieldName-4312437,7,7,7,2017-06-13,22:59:53,2003-10-30,r-16838406,m-20069686,069686
