SalesOrder,DocRelationshipUUID,SubsequentDocument,SubsequentDocumentCategory,ProcessFlowLevel,OverallSDProcessStatus,CreationDate,CreationTime,LastChangeDate,to_SalesOrder_SalesOrder
w-12647909,12647909-c5dc-4c0d-a02b-e65be49a62f8,t-12647909,7909,09,9,2020-05-31,22:59:53,2011-12-31,r-16838406
w-12647910,12647910-6282-436f-afbd-e7c8652019b1,t-12647910,7910,10,0,2002-02-25,22:59:53,2014-03-27,r-16838406
w-12647911,12647911-6782-47be-82d8-7d546a591fd8,t-12647911,7911,11,1,2021-07-22,22:59:53,2000-05-03,r-16838406
w-12647912,12647912-40fc-4ab1-ad92-76b44eab00fc,t-12647912,7912,12,2,2015-04-10,22:59:53,2018-07-08,r-16838406
w-12647913,12647913-6b4d-4386-a664-7d6a8e3142bf,t-12647913,7913,13,3,2020-02-23,22:59:53,2012-09-17,r-16838406
w-12647914,12647914-b63a-4e59-bf2e-5abad6117189,t-12647914,7914,14,4,2000-02-02,22:59:53,2023-06-08,r-16838406
w-12647915,12647915-8d6a-4655-aa4e-240cf3756bd9,t-12647915,7915,15,5,2002-01-29,22:59:53,2011-02-18,r-16838406
w-12647916,12647916-9caa-496a-9e53-1dfbd1a2b131,t-12647916,7916,16,6,2000-07-14,22:59:53,2003-06-19,r-16838406
w-12647917,12647917-d490-4f0e-a2eb-076e24bc883c,t-12647917,7917,17,7,2002-11-20,22:59:53,2011-01-20,r-16838406
w-12647918,12647918-5de0-4b55-ba76-37f901124dfc,t-12647918,7918,18,8,2020-08-26,22:59:53,2000-02-17,r-16838406
