Customer,CustomerNumber,InvoiceNumber,Topic
Customer-22110525,CustomerNumber-22110525,InvoiceNumber-22110525,Topic-22110525
Customer-22110526,CustomerNumber-22110526,InvoiceNumber-22110526,Topic-22110526
Customer-22110527,CustomerNumber-22110527,InvoiceNumber-22110527,Topic-22110527
Customer-22110528,CustomerNumber-22110528,InvoiceNumber-22110528,Topic-22110528
Customer-22110529,CustomerNumber-22110529,InvoiceNumber-22110529,Topic-22110529
Customer-22110530,CustomerNumber-22110530,InvoiceNumber-22110530,Topic-22110530
Customer-22110531,CustomerNumber-22110531,InvoiceNumber-22110531,Topic-22110531
Customer-22110532,CustomerNumber-22110532,InvoiceNumber-22110532,Topic-22110532
Customer-22110533,CustomerNumber-22110533,InvoiceNumber-22110533,Topic-22110533
Customer-22110534,CustomerNumber-22110534,InvoiceNumber-22110534,Topic-22110534
